SourceFile,Date,Time,ExposureCompensation,ExposureTime,FileSize,Latitude,Longitude,ImageSize,Make,Megapixels
./photo1.jpg,2016:06:30,15:49:42,0,0.000520021,3326610,42.79858056,-70.80837222,4032x3024,Apple,12.192768
./photo10.jpg,2016:07:05,16:27:52,221,2,644,NA,,1.820677326,iPhone 6s Plus back camera 4.15mm f/2.2,Apple
./photo11.jpg,2016:07:05,20:48:49,0,0.125,2645238,40.74494167,-74.00686667,4032x3024,Apple,12.192768
./photo12.jpg,2016:07:05,20:53:29,0,0.25,2149947,40.74352778,-74.006875,4032x3024,Apple,12.192768
./photo13.jpg,,,NA,NA,284801,NA,NA,900x1600,,1.44
./photo14.jpg,2016:07:14,17:13:30,0,0.000610874,2607646,48.80438333,9.1824,4032x3024,Apple,12.192768
./photo15.jpg,2016:07:14,17:35:28,221,2,644,NA,,1.820677326,iPhone 6s Plus back camera 4.15mm f/2.2,Apple
./photo16.jpg,2016:07:14,18:16:19,221,2,644,NA,,1.820677326,iPhone 6s Plus back camera 4.15mm f/2.2,Apple
./photo17.jpg,2016:07:14,20:34:20,221,2,644,NA,,1.820677326,iPhone 6s Plus back camera 4.15mm f/2.2,Apple
./photo18.jpg,2016:07:15,15:08:27,0,0.001157407,2687459,NA,NA,4032x3024,Apple,12.192768
./photo19.jpg,2016:07:16,11:45:07,221,2,644,NA,,1.820677326,iPhone 6s Plus back camera 4.15mm f/2.2,Apple
./photo2.jpg,2016:06:30,17:43:57,221,2,644,NA,,1.820677326,iPhone 6s Plus back camera 4.15mm f/2.2,Apple
